class_id,class_name,precision,recall,f1,support,accuracy,dataset,shot,seed,model_key,model
1,Corn-notill,0.6592071611253197,0.7322443181818182,0.6938088829071333,1408,0.7322443181818182,indian_pines,10,3,hybridsn_small,HybridSN-small
2,Corn-mintill,0.9319470699432892,0.608641975308642,0.736370425690814,810,0.608641975308642,indian_pines,10,3,hybridsn_small,HybridSN-small
3,Corn,0.7667844522968198,1.0,0.868,217,1.0,indian_pines,10,3,hybridsn_small,HybridSN-small
4,Grass-pasture,0.9026128266033254,0.8207343412526998,0.8597285067873304,463,0.8207343412526998,indian_pines,10,3,hybridsn_small,HybridSN-small
5,Grass-trees,0.7491961414790996,0.9845070422535211,0.8508825319537432,710,0.9845070422535211,indian_pines,10,3,hybridsn_small,HybridSN-small
6,Grass-pasture-mowed,0.2631578947368421,1.0,0.4166666666666667,15,1.0,indian_pines,10,3,hybridsn_small,HybridSN-small
7,Hay-windrowed,0.921529175050302,1.0,0.9591623036649216,458,1.0,indian_pines,10,3,hybridsn_small,HybridSN-small
8,Oats,0.2051282051282051,1.0,0.3404255319148936,8,1.0,indian_pines,10,3,hybridsn_small,HybridSN-small
9,Soybean-notill,0.7315436241610739,0.8014705882352942,0.7649122807017544,952,0.8014705882352942,indian_pines,10,3,hybridsn_small,HybridSN-small
10,Soybean-mintill,0.9411111111111112,0.6956878850102669,0.8,2435,0.6956878850102669,indian_pines,10,3,hybridsn_small,HybridSN-small
11,Soybean-clean,0.8704103671706264,0.7033158813263525,0.777992277992278,573,0.7033158813263525,indian_pines,10,3,hybridsn_small,HybridSN-small
12,Wheat,0.4742268041237113,0.9945945945945946,0.6422338568935427,185,0.9945945945945946,indian_pines,10,3,hybridsn_small,HybridSN-small
13,Woods,0.9945105215004576,0.8730923694779117,0.9298545765611634,1245,0.8730923694779117,indian_pines,10,3,hybridsn_small,HybridSN-small
14,Buildings-Grass-Trees-Drives,0.7218934911242604,1.0,0.8384879725085911,366,1.0,indian_pines,10,3,hybridsn_small,HybridSN-small
15,Stone-Steel-Towers,0.4478527607361963,1.0,0.6186440677966102,73,1.0,indian_pines,10,3,hybridsn_small,HybridSN-small
0,Alfalfa,0.3670886075949367,1.0,0.5370370370370371,29,1.0,indian_pines,10,4,hybridsn_small,HybridSN-small
1,Corn-notill,0.7922457937088515,0.7691761363636364,0.7805405405405406,1408,0.7691761363636364,indian_pines,10,4,hybridsn_small,HybridSN-small
2,Corn-mintill,0.6889897843359818,0.7493827160493827,0.7179183914843288,810,0.7493827160493827,indian_pines,10,4,hybridsn_small,HybridSN-small
3,Corn,0.7455830388692579,0.9723502304147466,0.844,217,0.9723502304147466,indian_pines,10,4,hybridsn_small,HybridSN-small
4,Grass-pasture,0.9041095890410958,0.8552915766738661,0.8790233074361821,463,0.8552915766738661,indian_pines,10,4,hybridsn_small,HybridSN-small
5,Grass-trees,0.8417639429312581,0.9140845070422536,0.8764348413234301,710,0.9140845070422536,indian_pines,10,4,hybridsn_small,HybridSN-small
6,Grass-pasture-mowed,0.3658536585365853,1.0,0.5357142857142857,15,1.0,indian_pines,10,4,hybridsn_small,HybridSN-small
7,Hay-windrowed,0.903353057199211,1.0,0.9492227979274612,458,1.0,indian_pines,10,4,hybridsn_small,HybridSN-small
8,Oats,0.08,1.0,0.1481481481481481,8,1.0,indian_pines,10,4,hybridsn_small,HybridSN-small
9,Soybean-notill,0.8197320341047503,0.7069327731092437,0.7591652566271856,952,0.7069327731092437,indian_pines,10,4,hybridsn_small,HybridSN-small
10,Soybean-mintill,0.9432251908396948,0.8119096509240247,0.8726550430368573,2435,0.8119096509240247,indian_pines,10,4,hybridsn_small,HybridSN-small
11,Soybean-clean,0.9322916666666666,0.62478184991274,0.7481713688610241,573,0.62478184991274,indian_pines,10,4,hybridsn_small,HybridSN-small
12,Wheat,0.720164609053498,0.945945945945946,0.8177570093457944,185,0.945945945945946,indian_pines,10,4,hybridsn_small,HybridSN-small
13,Woods,0.9792013311148088,0.9453815261044176,0.9619942787086228,1245,0.9453815261044176,indian_pines,10,4,hybridsn_small,HybridSN-small
14,Buildings-Grass-Trees-Drives,0.7530864197530864,1.0,0.8591549295774648,366,1.0,indian_pines,10,4,hybridsn_small,HybridSN-small
15,Stone-Steel-Towers,0.2943548387096774,1.0,0.454828660436137,73,1.0,indian_pines,10,4,hybridsn_small,HybridSN-small
0,Asphalt,0.9915564311849142,0.532496977025393,0.6928901563575572,6616,0.532496977025393,pavia_university,5,0,hybridsn_small,HybridSN-small
1,Meadows,0.9970057795418148,0.7683803799506279,0.8678890741021367,18634,0.7683803799506279,pavia_university,5,0,hybridsn_small,HybridSN-small
